zip_x,2010 Census Population,20-29,30-39,40-49,50-59,60-69,70-79,>79
2056,10981,758,714,780,747,516,296,203
2061,10506,725,683,746,714,494,284,194
2062,28602,1974,1859,2031,1945,1344,772,529
2066,17656,1218,1148,1254,1201,830,477,327
2067,17486,1207,1137,1242,1189,822,472,323
2071,1707,118,111,121,116,80,46,32
2072,26999,1863,1755,1917,1836,1269,729,499
2081,18472,1275,1201,1312,1256,868,499,342
2090,14636,1010,951,1039,995,688,395,271
2093,10955,756,712,778,745,515,296,203
2108,3825,264,249,272,260,180,103,71
2109,3771,260,245,268,256,177,102,70
2110,1733,120,113,123,118,81,47,32
2111,7383,509,480,524,502,347,199,137
2113,6915,477,449,491,470,325,187,128
2114,11999,828,780,852,816,564,324,222
2115,28441,1962,1849,2019,1934,1337,768,526
2116,20628,1423,1341,1465,1403,970,557,382
2118,26498,1828,1722,1881,1802,1245,715,490
2119,25346,1749,1647,1800,1724,1191,684,469
2120,15181,1047,987,1078,1032,714,410,281
2121,25978,1792,1689,1844,1767,1221,701,481
2122,23479,1620,1526,1667,1597,1104,634,434
2124,47783,3297,3106,3393,3249,2246,1290,884
2125,33295,2297,2164,2364,2264,1565,899,616
2126,25562,1764,1662,1815,1738,1201,690,473
2127,31799,2194,2067,2258,2162,1495,859,588
2128,40508,2795,2633,2876,2755,1904,1094,749
2129,16439,1134,1069,1167,1118,773,444,304
2130,35401,2443,2301,2513,2407,1664,956,655
2131,29826,2058,1939,2118,2028,1402,805,552
2132,25861,1784,1681,1836,1759,1215,698,478
2134,21503,1484,1398,1527,1462,1011,581,398
2135,42780,2952,2781,3037,2909,2011,1155,791
2136,28488,1966,1852,2023,1937,1339,769,527
2138,36314,2506,2360,2578,2469,1707,980,672
2139,36349,2508,2363,2581,2472,1708,981,672
2140,17607,1215,1144,1250,1197,828,475,326
2141,11910,822,774,846,810,560,322,220
2142,3141,217,204,223,214,148,85,58
2143,24514,1691,1593,1740,1667,1152,662,454
2144,23891,1648,1553,1696,1625,1123,645,442
2145,25439,1755,1654,1806,1730,1196,687,471
2148,59503,4106,3868,4225,4046,2797,1607,1101
2149,41550,2867,2701,2950,2825,1953,1122,769
2150,35124,2424,2283,2494,2388,1651,948,650
2151,51808,3575,3368,3678,3523,2435,1399,958
2152,17497,1207,1137,1242,1190,822,472,324
2155,57964,4000,3768,4115,3942,2724,1565,1072
2163,2582,178,168,183,176,121,70,48
2169,55055,3799,3579,3909,3744,2588,1486,1019
2170,19505,1346,1268,1385,1326,917,527,361
2171,17711,1222,1151,1257,1204,832,478,328
2176,26983,1862,1754,1916,1835,1268,729,499
2180,21437,1479,1393,1522,1458,1008,579,397
2184,35744,2466,2323,2538,2431,1680,965,661
2186,27003,1863,1755,1917,1836,1269,729,500
2188,14608,1008,950,1037,993,687,394,270
2189,14559,1005,946,1034,990,684,393,269
2190,16119,1112,1048,1144,1096,758,435,298
2191,8457,584,550,600,575,397,228,156
2199,1146,79,74,81,78,54,31,21
2203,0,0,0,0,0,0,0,0
2210,2090,144,136,148,142,98,56,39
2215,26125,1803,1698,1855,1777,1228,705,483
2301,61025,4211,3967,4333,4150,2868,1648,1129
2302,32741,2259,2128,2325,2226,1539,884,606
2322,4356,301,283,309,296,205,118,81
2324,26563,1833,1727,1886,1806,1248,717,491
2330,11509,794,748,817,783,541,311,213
2332,15059,1039,979,1069,1024,708,407,279
2333,13794,952,897,979,938,648,372,255
2338,7518,519,489,534,511,353,203,139
2339,13879,958,902,985,944,652,375,257
2341,10218,705,664,725,695,480,276,189
2343,10745,741,698,763,731,505,290,199
2346,23106,1594,1502,1641,1571,1086,624,427
2347,10612,732,690,753,722,499,287,196
2351,16029,1106,1042,1138,1090,753,433,297
2356,12564,867,817,892,854,591,339,232
2357,1360,94,88,97,92,64,37,25
2359,17828,1230,1159,1266,1212,838,481,330
2360,56271,3883,3658,3995,3826,2645,1519,1041
2364,12629,871,821,897,859,594,341,234
2366,197,14,13,14,13,9,5,4
2367,2820,195,183,200,192,133,76,52
2368,32158,2219,2090,2283,2187,1511,868,595
2370,17489,1207,1137,1242,1189,822,472,324
2375,9188,634,597,652,625,432,248,170
2379,6916,477,450,491,470,325,187,128
2382,14489,1000,942,1029,985,681,391,268
2420,14052,970,913,998,956,660,379,260
2421,17342,1197,1127,1231,1179,815,468,321
2445,20679,1427,1344,1468,1406,972,558,383
2446,29311,2022,1905,2081,1993,1378,791,542
2451,17426,1202,1133,1237,1185,819,471,322
2452,14238,982,925,1011,968,669,384,263
2453,28968,1999,1883,2057,1970,1361,782,536
2457,1432,99,93,102,97,67,39,26
2458,12131,837,789,861,825,570,328,224
2459,19095,1318,1241,1356,1298,897,516,353
2460,8742,603,568,621,594,411,236,162
2461,7059,487,459,501,480,332,191,131
2462,1554,107,101,110,106,73,42,29
2464,2953,204,192,210,201,139,80,55
2465,11710,808,761,831,796,550,316,217
2466,8096,559,526,575,551,381,219,150
2467,22491,1552,1462,1597,1529,1057,607,416
2468,5273,364,343,374,359,248,142,98
2472,32014,2209,2081,2273,2177,1505,864,592
2474,26312,1816,1710,1868,1789,1237,710,487
2476,16532,1141,1075,1174,1124,777,446,306
2478,24664,1702,1603,1751,1677,1159,666,456
